voting_number,name,nic,district_id
V0170,Zane Brown,195281196V,D07
V0171,Rachel Smith,666275442V,D17
V0172,Xavier Lee,858176721V,D14
V0173,Charlie Martin,638512399V,D07
V0174,Kevin Wilson,836934926V,D15
V0175,Nina Rodriguez,773092378V,D21
V0176,Wendy Anderson,993150734V,D03
V0177,Charlie Martinez,146059181V,D08
V0178,Xavier Walker,890267370V,D04
V0179,George Clark,473431150V,D16
V0180,Hannah Martin,859834957V,D20
V0181,Zane Anderson,556585589V,D18
V0182,Uma Anderson,443072709V,D13
V0183,Laura Lewis,380805687V,D10
V0184,Diana Davis,559321095V,D23
V0185,Tina Martinez,235969875V,D19
V0186,Alice Taylor,522813694V,D12
V0187,Julia Garcia,139545887V,D12
V0188,George Harris,915868744V,D17
V0189,Victor Thomas,823547607V,D17
V0190,Wendy Thomas,346527690V,D14
V0191,Michael Thompson,803533510V,D21
V0192,Tina Robinson,292241249V,D03
V0193,Michael Brown,647238704V,D07
V0194,Quentin Smith,379028189V,D22
V0195,Ian Harris,270442472V,D04
V0196,Uma Wilson,497998483V,D18
V0197,Fiona Wilson,234018384V,D12
V0198,George Garcia,401721495V,D02
V0199,Alice Lewis,907839310V,D05
V0200,Edward Lewis,809808836V,D01
V0201,Michael Thompson,765219749V,D15
V0202,Alice Taylor,190918168V,D08
V0203,Kevin Taylor,278221500V,D16
V0204,Oscar Anderson,238151100V,D25
V0205,Tina Walker,660955966V,D24
V0206,Tina Martin,238317837V,D04
V0207,Nina Thomas,171942745V,D04
V0208,Julia Garcia,581424586V,D24
V0209,Victor Thompson,500905037V,D13
V0210,Sam Lewis,183585506V,D14
V0211,Sam Wilson,974532229V,D09
V0212,Paula Wilson,737186954V,D08
V0213,Tina Wilson,491660519V,D15
V0214,Hannah Davis,146143587V,D06
V0215,Julia Taylor,107658779V,D20
V0216,Victor Martin,182720935V,D06
V0217,Uma Brown,509246914V,D17
V0218,Victor Walker,710917598V,D19
V0219,Quentin Martinez,184050403V,D13
V0220,Hannah Thompson,105085791V,D23
V0221,Julia Smith,864006467V,D20
V0222,Nina Davis,824050800V,D07
V0223,Hannah White,949290333V,D05
V0224,Wendy Harris,955824706V,D25
V0225,Alice Jackson,963393276V,D18
V0226,Paula Wilson,918816667V,D03
V0227,Xavier Martinez,915204287V,D01
V0228,Alice Martin,691686525V,D06
V0229,Edward Thompson,723827202V,D02
V0230,Yasmin Rodriguez,171938720V,D11
V0231,Wendy Rodriguez,668153306V,D08
V0232,Michael Martinez,293473980V,D15
V0233,Michael Martinez,159544627V,D23
V0234,Victor Anderson,875541147V,D01
V0235,Ian Robinson,694665896V,D13
V0236,Alice Garcia,201988967V,D13
V0237,Charlie Taylor,210636695V,D24
V0238,Alice Martinez,591108641V,D18
V0239,Tina Harris,320572406V,D16
V0240,Wendy Lee,605690582V,D15
V0241,Zane Lewis,609545726V,D21
V0242,Hannah Taylor,957218110V,D10
V0243,Hannah Martin,109722846V,D18
V0244,Tina White,780954060V,D18
V0245,Michael Wilson,380129482V,D07
V0246,Yasmin Thomas,893702746V,D08
V0247,Wendy Thompson,976821958V,D06
V0248,Julia Walker,199765264V,D03
V0249,George Clark,976950274V,D16
V0250,George Lee,593767497V,D23
V0251,Quentin Clark,836480221V,D11
V0252,Laura Garcia,481605778V,D01
V0253,Diana Lewis,919344745V,D03
V0254,Charlie Wilson,616548009V,D08
V0255,Paula White,872033688V,D25
V0256,Julia Jackson,319429847V,D03
V0257,Hannah Rodriguez,461769009V,D04
V0258,Alice Jackson,270252833V,D13
V0259,Alice Smith,515926657V,D13
V0260,Nina Davis,758045226V,D21
V0261,Laura Wilson,703701874V,D20
V0262,Oscar Wilson,324868400V,D02
V0263,Fiona Wilson,763428141V,D23
V0264,Michael Davis,443614970V,D07
V0265,Kevin Harris,785887367V,D03
V0266,Wendy Jackson,541089617V,D08
V0267,Bob Walker,130248657V,D19
V0268,Fiona Davis,249634568V,D08
V0269,Oscar Walker,971134571V,D02
V0270,Uma Thomas,557036432V,D13
V0271,Ian Davis,585859573V,D17
V0272,Rachel Smith,180938258V,D12
V0273,Kevin Walker,461670536V,D02
V0274,Xavier Jackson,213600913V,D21
V0275,Michael White,828821867V,D14
V0276,Ian Brown,956303136V,D14
V0277,Paula Brown,132136179V,D23
V0278,Bob Harris,277674257V,D10
V0279,Oscar Martin,902983463V,D19
V0280,Zane Jackson,175569050V,D19
V0281,Fiona Thompson,465675685V,D25
V0282,Julia Davis,363590608V,D12
V0283,George Garcia,432937224V,D24
V0284,Kevin Lewis,204285845V,D08
V0285,Edward Thompson,988858596V,D21
V0286,Edward Martin,871067943V,D03
V0287,Charlie Robinson,151336780V,D15
V0288,Yasmin Thomas,110498876V,D05
V0289,Diana Davis,766603795V,D08
V0290,Oscar Lee,363785827V,D05
V0291,Ian Rodriguez,288637420V,D03
V0292,Bob Wilson,499346023V,D20
V0293,Charlie Anderson,560791520V,D10
V0294,Diana Brown,778889700V,D07
V0295,Paula Walker,742380810V,D19
V0296,Yasmin Harris,513769357V,D17
V0297,Julia Martinez,247334915V,D14
V0298,Alice Walker,551997453V,D14
V0299,Kevin Harris,560141114V,D10
V0300,Uma Taylor,137408912V,D03
V0301,Michael Garcia,116665233V,D15
V0302,Laura Lee,235992979V,D13
V0303,Wendy Davis,706792277V,D16
V0304,Bob Brown,294831625V,D24
V0305,Michael Taylor,716148542V,D06
V0306,Ian Thomas,298465797V,D17
V0307,Victor Martinez,781610782V,D25
V0308,Laura Garcia,456122881V,D01
V0309,Fiona Jackson,733480748V,D16
V0310,Victor Thompson,487381979V,D24
V0311,Xavier Walker,336545224V,D11
V0312,Rachel Lee,225434985V,D12
V0313,Quentin Wilson,329755706V,D16
V0314,Yasmin Taylor,184628049V,D16
V0315,Diana Lee,622515098V,D05
V0316,Bob Smith,187973175V,D18
V0317,Laura Smith,501548661V,D11
V0318,Paula Harris,394100412V,D25
V0319,Wendy Anderson,868117248V,D22
V0320,Uma Harris,964192270V,D16
V0321,Zane White,776794652V,D03
V0322,Victor White,422010426V,D02
V0323,Xavier Davis,319412241V,D09
V0324,Nina Thomas,181081969V,D15
V0325,Bob Martin,542536188V,D05
V0326,Fiona Garcia,369344555V,D01
V0327,Laura Wilson,631450408V,D09
V0328,Ian Anderson,458790338V,D04
V0329,Quentin Martinez,277053540V,D16
V0330,Nina Brown,829839248V,D09
V0331,Fiona Walker,609272370V,D08
V0332,Xavier Lewis,336915633V,D07
V0333,Bob Taylor,382116299V,D14
V0334,Uma Rodriguez,723269619V,D19
V0335,Bob Thomas,723509989V,D06
V0336,Oscar Jackson,837928255V,D24
V0337,Oscar Smith,184310178V,D17
V0338,Nina Clark,819938376V,D16
V0339,Diana Walker,319034880V,D13
V0340,Wendy Martin,487371985V,D09
V0341,Hannah Harris,683136695V,D19
V0342,Michael Smith,891584117V,D17
V0343,Fiona Wilson,825039950V,D21
V0344,Edward Thomas,545141238V,D21
V0345,Sam Jackson,423421115V,D22
V0346,Rachel Lewis,422812947V,D22
V0347,Ian Garcia,897391065V,D18
V0348,George Davis,270554641V,D05
V0349,Michael Thomas,610561977V,D02
V0350,Julia Martinez,620130794V,D03
V0351,Charlie Walker,738854215V,D20
V0352,Victor Anderson,387756941V,D07
V0353,Oscar Harris,501356066V,D18
V0354,Quentin Jackson,973470782V,D13
V0355,Julia Martinez,392500065V,D03
V0356,Wendy Clark,888688039V,D06
V0357,Julia Martinez,122066612V,D23
V0358,Paula Brown,205218514V,D06
V0359,Uma Wilson,655277992V,D11
V0360,Diana Lee,528183248V,D11
V0361,Paula Lewis,843876628V,D22
V0362,Kevin Lee,844220022V,D10
V0363,Bob Davis,150127166V,D10
V0364,Hannah Thomas,147491702V,D20
V0365,Uma Anderson,782113676V,D22
V0366,Diana Thomas,430799704V,D11
V0367,Tina White,847231182V,D20
V0368,Tina Smith,482447582V,D06
V0369,Fiona Thompson,661775118V,D08
V0370,Zane Lee,577242432V,D22
V0371,Rachel White,192946369V,D16
V0372,Nina Davis,400670841V,D07
V0373,Uma Lee,662678859V,D19
V0374,Ian Taylor,346029924V,D11
V0375,Charlie Jackson,317135029V,D16
V0376,Zane Thompson,320620671V,D06
V0377,Uma Lee,465264840V,D14
V0378,Sam Harris,581076837V,D05
V0379,Paula White,746046024V,D12
V0380,Michael Anderson,509470691V,D10
V0381,Diana Anderson,240487017V,D05
V0382,Edward Harris,500562043V,D25
V0383,Diana Garcia,297714264V,D18
V0384,Alice Anderson,935684739V,D10
V0385,Zane Garcia,778832891V,D06
V0386,Tina Brown,439103315V,D07
V0387,Quentin Wilson,407851483V,D08
V0388,Xavier Martinez,330473570V,D24
V0389,Zane Harris,410624816V,D04
V0390,Fiona Brown,249610355V,D10
V0391,Wendy Robinson,571742492V,D16
V0392,Rachel Davis,156896647V,D05
V0393,Edward Walker,785601019V,D01
V0394,Rachel Smith,400769722V,D08
V0395,Charlie Robinson,578006848V,D06
V0396,Ian Lee,559447956V,D14
V0397,Quentin Smith,170546341V,D02
V0398,Quentin White,257400632V,D05
V0399,Quentin Brown,403074929V,D17
V0400,Fiona Harris,175231989V,D16
V0401,Ian Thomas,316850750V,D12
V0402,Tina Martin,548477947V,D23
V0403,Ian Wilson,341163170V,D23
V0404,Xavier Thompson,237794499V,D25
V0405,Xavier Martinez,204891525V,D07
V0406,Edward Clark,880036334V,D02
V0407,Kevin Walker,318720899V,D17
V0408,Rachel Brown,914818593V,D20
V0409,Diana White,150942191V,D08
V0410,Ian Martinez,369637194V,D19
V0411,Charlie Lee,821595605V,D16
V0412,Laura Smith,429166180V,D16
V0413,Wendy Robinson,889089622V,D02
V0414,Nina Lewis,491725368V,D12
V0415,Charlie Martin,337219702V,D25
V0416,Kevin Brown,320257032V,D06
V0417,Rachel Smith,961808827V,D19
V0418,Diana Wilson,609470236V,D17
V0419,Oscar Lee,692016019V,D04
V0420,Fiona Jackson,804845445V,D13
V0421,Yasmin Rodriguez,344029486V,D03
V0422,Fiona Brown,496199888V,D24
V0423,Paula Taylor,213434051V,D03
V0424,George Smith,867961530V,D02
V0425,Laura Wilson,383218274V,D21
V0426,Fiona Thompson,269338407V,D17
V0427,Edward Martinez,931627111V,D18
V0428,Bob Garcia,722739823V,D02
V0429,Victor Walker,687598866V,D14
V0430,Julia Walker,846152991V,D14
V0431,Charlie Harris,750937184V,D22
V0432,Diana Rodriguez,170035788V,D10
V0433,Fiona Lewis,964730753V,D11
V0434,Michael Lee,409702254V,D12
V0435,Hannah Rodriguez,820147292V,D17
V0436,Rachel Davis,750506471V,D02
V0437,Xavier Thomas,512806758V,D15
V0438,Victor Garcia,873307748V,D20
V0439,Oscar Walker,509994430V,D25
V0440,Bob Wilson,419746682V,D08
V0441,George Lee,198412651V,D01
V0442,Alice Garcia,843537326V,D11
V0443,Charlie White,135768246V,D21
V0444,Quentin Martin,667675952V,D11
V0445,Rachel Lewis,308197504V,D24
V0446,Diana White,325660900V,D12
V0447,Yasmin Smith,549567277V,D25
V0448,Michael White,100830706V,D07
V0449,Yasmin Clark,902178923V,D13
V0450,Edward Anderson,983794221V,D06
V0451,George Taylor,276402650V,D17
V0452,Julia Clark,441926651V,D22
V0453,Edward Rodriguez,485002785V,D24
V0454,Nina Wilson,543552398V,D19
V0455,Edward Robinson,667895540V,D09
V0456,Xavier Thompson,540110859V,D07
V0457,Xavier Clark,814618394V,D25
V0458,Kevin Martinez,905976079V,D17
V0459,Bob Wilson,879282022V,D23
V0460,Diana Lewis,524939754V,D07
V0461,Quentin Lewis,656452852V,D07
V0462,Diana Martin,467103434V,D07
V0463,George Brown,479955618V,D05
V0464,Yasmin Martinez,173124235V,D05
V0465,Laura Harris,567057096V,D25
V0466,Uma Walker,547355847V,D03
V0467,Bob Jackson,314396000V,D21
V0468,Kevin Thomas,839907983V,D17
V0469,Xavier Thompson,775807727V,D05
V0470,Sam White,499509884V,D01
V0471,George Garcia,695870235V,D21
V0472,Fiona Martinez,611537893V,D09
V0473,Xavier Robinson,666403781V,D16
V0474,Charlie Robinson,741699704V,D06
V0475,Edward Smith,971710416V,D09
V0476,Quentin Lewis,310922138V,D10
V0477,Victor Rodriguez,184848193V,D12
V0478,Victor Lee,380613627V,D18
V0479,Victor White,314943644V,D13
V0480,George Taylor,478954725V,D08
V0481,Yasmin Robinson,628211605V,D25
V0482,Diana Smith,206128822V,D12
V0483,Tina Taylor,761640195V,D15
V0484,Hannah Rodriguez,781651151V,D02
V0485,Wendy Robinson,563925116V,D23
V0486,Oscar Walker,990984479V,D04
V0487,Wendy Jackson,221324179V,D06
V0488,Ian Martin,547403039V,D15
V0489,Wendy Harris,829989377V,D13
V0490,Michael Jackson,872656748V,D25
V0491,Zane Clark,279311008V,D21
V0492,Quentin Walker,787603932V,D16
V0493,Diana Clark,296796519V,D18
V0494,Alice Smith,912144583V,D21
V0495,Quentin Garcia,237594966V,D16
V0496,George Lewis,817967174V,D04
V0497,Nina Brown,375080784V,D21
V0498,Victor White,466564056V,D15
V0499,Yasmin Harris,640401419V,D19
V0500,Fiona Brown,718057684V,D20
V0501,Sam Brown,332198233V,D23
V0502,Alice Rodriguez,397047258V,D14
V0503,Paula Walker,824440213V,D14
V0504,Laura Lewis,375703063V,D15
V0505,George Jackson,284669564V,D18
V0506,Charlie Anderson,541254101V,D15
V0507,Hannah Taylor,142034855V,D21
V0508,Zane Garcia,549972651V,D13
V0509,Victor Davis,629779816V,D25
V0510,Edward Martinez,828021470V,D15
V0511,Victor Garcia,531404290V,D01
V0512,Victor Lee,512593897V,D05
V0513,Oscar Brown,722417284V,D21
V0514,Yasmin Garcia,942563006V,D14
V0515,Uma Smith,501178086V,D06
V0516,Quentin Smith,421382500V,D18
V0517,Wendy Davis,163615717V,D03
V0518,Wendy Harris,445597882V,D12
V0519,Oscar Jackson,399048698V,D08
V0520,Xavier Walker,874806578V,D08
V0521,Michael Anderson,119160731V,D25
V0522,Oscar Taylor,302731998V,D08
V0523,Bob Martin,224407863V,D19
V0524,Wendy Brown,319405231V,D22
V0525,Ian Jackson,801302656V,D16
V0526,Uma Clark,947371112V,D14
V0527,Fiona Davis,366041819V,D10
V0528,Victor Lee,621785112V,D06
V0529,Kevin Robinson,821775491V,D24
V0530,Hannah Martin,841585921V,D12
V0531,Uma Garcia,358584101V,D05
V0532,Michael Clark,531409640V,D19
V0533,Fiona Anderson,328184652V,D17
V0534,George Martinez,129447960V,D09
V0535,Edward White,108458660V,D14
V0536,Michael Taylor,859407257V,D10
V0537,Victor Martinez,139885026V,D23
V0538,Charlie Harris,981258943V,D21
V0539,Oscar Harris,660174393V,D24
V0540,Charlie Anderson,985586759V,D24
V0541,Hannah Thomas,180315038V,D16
V0542,Victor Anderson,265011365V,D03
V0543,Sam Lee,569892128V,D22
V0544,Diana Brown,973098602V,D01
V0545,Bob Lee,646641367V,D17
V0546,Oscar Rodriguez,575334354V,D03
V0547,Ian Walker,362820209V,D12
V0548,Xavier Martin,922093159V,D25
V0549,Julia Lee,600288491V,D20
V0550,Wendy Davis,901899760V,D17
V0551,Rachel Lee,223368973V,D18
V0552,Kevin Jackson,794398691V,D19
V0553,Bob Jackson,709853971V,D09
V0554,Wendy Anderson,330633529V,D24
V0555,Uma Taylor,969071866V,D23
V0556,Kevin Walker,435045389V,D14
V0557,Kevin Taylor,135245000V,D01
V0558,Zane Thompson,303070941V,D19
V0559,Oscar Thompson,533110872V,D21
V0560,Xavier Lee,280313670V,D09
V0561,Sam Lewis,155877701V,D01
V0562,Bob White,798784555V,D03
V0563,Michael Walker,412502379V,D10
V0564,Wendy Harris,573954683V,D10
V0565,George Thomas,426175074V,D15
V0566,Paula Anderson,121380900V,D07
V0567,Sam Martin,152129330V,D01
V0568,Edward Martinez,992874577V,D12
V0569,Yasmin Rodriguez,925875619V,D09
V0570,George Rodriguez,674494217V,D08
V0571,Victor Clark,823105469V,D02
V0572,Laura Garcia,915009673V,D11
V0573,Nina Thompson,931915721V,D06
V0574,Hannah Garcia,800802758V,D19
V0575,Laura Walker,883056046V,D13
V0576,Laura Anderson,990282560V,D18
V0577,Paula Anderson,839530142V,D16
V0578,Paula Martinez,740590961V,D16
V0579,Kevin Anderson,360467248V,D03
V0580,Kevin Jackson,398644616V,D09
V0581,Ian Walker,208827071V,D06
V0582,Uma Wilson,983004609V,D12
V0583,Alice Thomas,435528902V,D25
V0584,Alice Garcia,377322467V,D16
V0585,Paula Rodriguez,256975932V,D06
V0586,Victor Davis,465472467V,D09
V0587,Uma Smith,157381320V,D03
V0588,Ian Lewis,809916070V,D21
V0589,Nina Martinez,631095941V,D07
V0590,Oscar Lewis,540910575V,D19
V0591,Hannah Garcia,321900159V,D05
V0592,George Garcia,648198556V,D02
V0593,Edward Thompson,291450151V,D16
V0594,Michael Martinez,677360377V,D03
V0595,Nina Walker,148174080V,D21
V0596,Tina Robinson,243763964V,D06
V0597,Hannah Anderson,881507291V,D22
V0598,Kevin Walker,499190408V,D05
V0599,Oscar Wilson,462252189V,D25
V0600,Charlie White,836840678V,D13
V0601,Paula Davis,651858098V,D14
V0602,Yasmin Rodriguez,792715380V,D18
V0603,Oscar Walker,698756407V,D13
V0604,Tina Lewis,729887338V,D05
V0605,Ian Lewis,580969718V,D23
V0606,Nina Anderson,907700538V,D19
V0607,Yasmin Smith,423995769V,D21
V0608,Uma Davis,639218919V,D23
V0609,Victor Davis,721640574V,D06
V0610,Uma Davis,633281606V,D04
V0611,Quentin Jackson,958810836V,D05
V0612,Rachel Wilson,846721011V,D20
V0613,Yasmin Anderson,300928746V,D12
V0614,Alice White,547012269V,D15
V0615,Sam Harris,341335339V,D22
V0616,Uma Walker,124259773V,D18
V0617,Kevin Rodriguez,106643615V,D05
V0618,Hannah Walker,947466392V,D09
V0619,Zane Jackson,389114894V,D04
V0620,Quentin Martinez,680314516V,D06
V0621,Michael Robinson,313329863V,D01
V0622,Uma Anderson,175053601V,D25
V0623,Fiona Thomas,827512597V,D12
V0624,Laura Thomas,288672016V,D18
V0625,Laura Garcia,377844432V,D20
V0626,Hannah White,971245976V,D12
V0627,George Brown,351842034V,D09
V0628,Quentin Anderson,276844254V,D25
V0629,Michael Brown,431343006V,D10
V0630,George Lewis,274071802V,D03
V0631,Oscar Rodriguez,346818256V,D14
V0632,Julia Davis,865322090V,D17
V0633,Wendy Thomas,786931855V,D09
V0634,Victor Anderson,537421050V,D19
V0635,Oscar Jackson,616961464V,D25
V0636,Kevin Martinez,326971220V,D07
V0637,Uma Walker,355196182V,D10
V0638,Ian White,824115752V,D10
V0639,Ian Brown,548100007V,D03
V0640,Quentin Thomas,102499853V,D17
V0641,Xavier Anderson,552471046V,D17
V0642,Laura Anderson,511644011V,D18
V0643,Sam Martin,300153411V,D13
V0644,Victor White,329237436V,D05
V0645,Fiona Martinez,608743361V,D06
V0646,Sam Robinson,586586051V,D17
V0647,Tina Lee,746189897V,D05
V0648,Michael Garcia,706760157V,D03
V0649,Nina Lee,742945548V,D19
V0650,Tina Brown,293407170V,D09
V0651,Paula Thompson,446075456V,D05
V0652,Nina Thompson,170023558V,D08
V0653,Sam Harris,292404154V,D07
V0654,Ian Robinson,506722626V,D14
V0655,Yasmin Lee,150014635V,D25
V0656,Uma Smith,500168229V,D12
V0657,Wendy Walker,632097304V,D03
V0658,Laura Martinez,230045117V,D06
V0659,Xavier Martin,133347684V,D13
V0660,Diana Rodriguez,875489124V,D16
V0661,Michael Martin,915483221V,D08
V0662,Ian Taylor,142075364V,D05
V0663,Tina Thomas,914593776V,D11
V0664,Hannah Thomas,649748830V,D19
V0665,Tina Brown,843115981V,D01
V0666,Xavier Martinez,758828262V,D15
V0667,Kevin Walker,832204732V,D22
V0668,Victor Clark,833126893V,D12
V0669,Michael Thompson,452121939V,D16
V0670,Quentin Brown,484453058V,D20
V0671,Edward Clark,931862832V,D09
V0672,Sam Rodriguez,656180301V,D23
V0673,Wendy Taylor,643207126V,D21
V0674,Yasmin Smith,246127461V,D23
V0675,Diana Thomas,190126730V,D03
V0676,Fiona Taylor,388331454V,D14
V0677,Nina Clark,450769498V,D15
V0678,Laura Anderson,908857716V,D19
V0679,George Davis,392424663V,D22
V0680,Ian Rodriguez,909822171V,D01
V0681,Bob Brown,501312653V,D25
V0682,Laura White,615436261V,D08
V0683,Michael Thomas,873827027V,D17
V0684,Victor Wilson,228850988V,D03
V0685,Victor Martin,662842438V,D08
V0686,Bob Thompson,717702532V,D21
V0687,Michael Lee,785932831V,D05
V0688,Xavier Robinson,656726778V,D12
V0689,Hannah Smith,123060382V,D25
V0690,Bob Clark,106430959V,D14
V0691,Laura Lewis,393727510V,D24
V0692,Julia Robinson,135834370V,D10
V0693,Alice Robinson,432443450V,D03
V0694,Yasmin Brown,459659431V,D03
V0695,Sam Clark,989958754V,D23
V0696,Hannah White,729340394V,D15
V0697,Michael Brown,764074718V,D19
V0698,Diana White,905800079V,D11
V0699,Wendy Harris,898944960V,D20
V0700,Yasmin Wilson,434339246V,D12
V0701,Nina Smith,877760023V,D20
V0702,Ian Harris,836168487V,D22
